date,name,category,value
2018-01-01,Kaleidoscope,Corporation,39.75
2018-01-01,Poe,School : CPS,76
2018-01-01,Marquette,School : CPS,0
2018-01-01,Bennett,School : private,220
2018-01-01,Robert Crown,School : not-for-profit,158
2018-01-01,Mayer,School : CPS,102.75
2018-01-01,inQUEST,Corporation,0
2018-01-01,Bitter Pops,Corporation,0
2018-01-01,Rush Day School,School : not-for-profit,0
2018-01-01,Montessori,School - not-for-profit,80
2018-01-01,CCSD,School - not-for-profit,79
2018-01-01,Kids and Company,Corporation : daycare,0
2018-01-01,Friends of Bennett,School : private,0
2018-01-01,McDade,School : CPS,0
2018-01-01,Great Lakes,School : not-for-profit,0
2018-01-01,Winsight,Corporation,0
2018-01-01,TvS,Corporation,0
2018-04-01,Stagg,School : CPS,132.5
2018-04-01,Tarkington,School : CPS,120
2018-04-01,Greene,School : CPS,0
2018-04-01,Chalmers,School : CPS,141
2018-04-01,Howe,School : CPS,81
2018-04-01,NWEA,Corporation : not-for-profit,560
2018-04-01,Sawyer,School : CPS,0
2018-04-01,Lincoln,School : CPS,0
2018-04-01,NWEA TFA,Corporation : not-for-profit,0
2018-04-01,NTA,School : CPS,48.75
2018-04-01,Gower,School : not-for-profit,436.75
2018-04-01,Miscellaneous,Miscellaneous,114.5
2018-04-01,FCP,School : not-for-profit,8.5
2018-04-01,Jacobs Boiler,Corporation,0
2018-04-01,Kaleidoscope,Corporation,109.75
2018-04-01,Poe,School : CPS,83.5
2018-04-01,Marquette,School : CPS,0
2018-04-01,Bennett,School : private,243.25
2018-04-01,Robert Crown,School : not-for-profit,151
2018-04-01,Mayer,School : CPS,151
2018-04-01,inQUEST,Corporation,0
2018-04-01,Bitter Pops,Corporation,0
2018-04-01,Rush Day School,School : not-for-profit,0
2018-04-01,Montessori,School - not-for-profit,95.25
2018-04-01,CCSD,School - not-for-profit,127.25
2018-04-01,Kids and Company,Corporation : daycare,0
2018-04-01,Friends of Bennett,School : private,0
2018-04-01,McDade,School : CPS,0
2018-04-01,Great Lakes,School : not-for-profit,0
2018-04-01,Winsight,Corporation,0
2018-04-01,TvS,Corporation,0
2018-07-01,Stagg,School : CPS,53.25
2018-07-01,Tarkington,School : CPS,71
2018-07-01,Greene,School : CPS,0
2018-07-01,Chalmers,School : CPS,87.5
2018-07-01,Howe,School : CPS,40
2018-07-01,NWEA,Corporation : not-for-profit,389.25
2018-07-01,Sawyer,School : CPS,0
2018-07-01,Lincoln,School : CPS,0
2018-07-01,NWEA TFA,Corporation : not-for-profit,0
2018-07-01,NTA,School : CPS,26.75
2018-07-01,Gower,School : not-for-profit,838
2018-07-01,Miscellaneous,Miscellaneous,196.5
2018-07-01,FCP,School : not-for-profit,61.5
2018-07-01,Jacobs Boiler,Corporation,0
2018-07-01,Kaleidoscope,Corporation,75.5
2018-07-01,Poe,School : CPS,31.5
2018-07-01,Marquette,School : CPS,0
2018-07-01,Bennett,School : private,442.75
2018-07-01,Robert Crown,School : not-for-profit,169
2018-07-01,Mayer,School : CPS,67.5
2018-07-01,inQUEST,Corporation,0
2018-07-01,Bitter Pops,Corporation,0
2018-07-01,Rush Day School,School : not-for-profit,0
2018-07-01,Montessori,School - not-for-profit,66.25
2018-07-01,CCSD,School - not-for-profit,194.5
2018-07-01,Kids and Company,Corporation : daycare,3
2018-07-01,Friends of Bennett,School : private,0
2018-07-01,McDade,School : CPS,0
2018-07-01,Great Lakes,School : not-for-profit,0
2018-07-01,Winsight,Corporation,0
2018-07-01,TvS,Corporation,0
2018-10-01,Stagg,School : CPS,97.25
2018-10-01,Tarkington,School : CPS,105.5
2018-10-01,Greene,School : CPS,0
2018-10-01,Chalmers,School : CPS,141.5
2018-10-01,Howe,School : CPS,77
2018-10-01,NWEA,Corporation : not-for-profit,0
2018-10-01,Sawyer,School : CPS,0
2018-10-01,Lincoln,School : CPS,0
2018-10-01,NWEA TFA,Corporation : not-for-profit,0
2018-10-01,NTA,School : CPS,31.75
2018-10-01,Gower,School : not-for-profit,339.25
2018-10-01,Miscellaneous,Miscellaneous,210.5
2018-10-01,FCP,School : not-for-profit,79.75
2018-10-01,Jacobs Boiler,Corporation,8
2018-10-01,Kaleidoscope,Corporation,63.75
2018-10-01,Poe,School : CPS,75
2018-10-01,Marquette,School : CPS,0
